event_type,event_type_new
"""drive""",drive
"""honk and wave""",drive-by protest
"""kookout""",kookout
"""noise rally""",noise
"""send out"" day",send-out
A student-led walkout is being organized.,walkout
art build,artistic
art installation,artistic
art projection,artistic
art protest,artistic
artistic performance,artistic
artistic protest,artistic
assembly,rally
banging pots protest,noise
banner drop,banner
bicycle rally,bike rally
bicycle ride,bike rally
bike brigade,bike rally
bike ride,bike rally
block highway,blockade
block highways,blockade
block interactions and light rail stop,blockade
block streets,blockade
Blockade,blockade
boat parade,boat rally
Candlelight and prayer vigil,vigil; prayer
candlelight vigil,vigil
car caravan,car rally
car parade,car rally
car protest,car rally
car rally,car rally
car-protest,car rally
car-rally,car rally
caravan protest,caravan
Casserole Protests (Cacerolazo),cacerolazo
Civil disobedience,civil disobedience
civil protest,civil disobedience
Cleaning Up,cleanup
convoy,caravan
counter protest,counterprotest
counter Protest,counterprotest
counter- protest,counterprotest
counter-demonstration,counterprotest
counter-protest,counterprotest
Counter-protest,counterprotest
counter-protester,counterprotest
counter-protesting Families Belong Together march,counterprotest
counter-rally,counterprotest
Counterprotest,counterprotest
dance protest,dance
demo,demonstration
demonrstation,demonstration
demonsration,demonstration
demonsrration,demonstration
demonstarion,demonstration
demonstartion,demonstration
demonstation,demonstration
demonstratin,demonstration
Demonstration,demonstration
demonstration/march,demonstration
demonstrations,demonstration
demonstratoin,demonstration
Demonstraton,demonstration
demonstraton,demonstration
demonstrator,demonstration
demontration,demonstration
Demostration,demonstration
demostration,demonstration
deomnstration,demonstration
deomstration,demonstration
die in,die-in
die-in/death train,die-in
direct action march,direct action
direction action,direct action
discussions,discussion
disobedience,civil disobedience
dmeonstration,demonstration
door-knocking,door knocking
drive around,car rally
drive-in rally,car rally
drive-thru rally,car rally
Drive,drive
Educational Fair,educational event
Festival,festival
flash mob,flashmob
funeral march,funeral
funeral procession,funeral
Gathering,gathering
hanging of banners,banner
hanging of effigy,effigy
horseback ride,horse ride
human barricade,human chain
Human Chain,human chain
hunger-strike,hunger strike
informational picket,picket
Interfaith Vigil,vigil
It's kind of a combination NVDA and strike. It's a trash pickup/strike with signs demanding declaration of a climate emergency,strike
kayak protest,boat rally
kindness march,march
kneel-in,kneeling
kneeling during nat'l anthem,kneeling
kneeling protest,kneeling
macrh,march
marach,march
marcg,march
march & rally,march; rally
March and demonstration,march; demonstration
march and forum,march; forum
march and vigil,march; vigil
march out,march
March,march
march/festival,march; festival
March/Parade,march; parade
march/protest,march; protest
March/protest,march; protest
March/Rally,march; rally
meal strike,fast
meeting with City Commissioner,meeting
Meeting,meeting
meetings,meeting
